Constellation	XBayerFlamsteed	RA	Dec	Distance	Mag
Boo	X37Xi	14.85646783	19.10063329	6.699718612	4.54
Peg	X55	23.11673773	9.40952259	98.71668312	4.54
Sgr	X59	19.94911802	-27.1698625	370.3703704	4.54
Peg	X70	23.48590563	12.76049243	54.52562704	4.54
Cae	XGam1	5.07341993	-35.48287057	56.72149745	4.55
Cet	X2	0.06232565	-17.33597002	69.88120196	4.55
Lac	X2	22.35042452	46.53656484	156.25	4.55
Lac	X4	22.40860992	49.47640074	649.3506494	4.55
CMi	X6	7.49660613	12.00661101	171.8213058	4.55
Cep	X11	21.69863224	71.31118695	53.9083558	4.55
Sco	X19Omi	16.34393983	-24.16928427	361.0108303	4.55
UMa	X30Phi	9.86843337	54.06428574	133.8688086	4.55
Ret	XDel	3.97909374	-61.40015059	162.601626	4.56
Lup	XTau1	14.43562084	-45.22138996	317.4603175	4.56
Ara	X1Sig	17.59433647	-46.50559076	118.2033097	4.56
Per	X17	2.85856414	35.05989415	125.4705144	4.56
Vul	X31	20.86881265	27.09712771	66.40106242	4.56
Cyg	X63	21.11002448	47.64840597	301.2048193	4.56
Leo	X72	11.25340086	23.09552528	2040.816327	4.56
Tau	X136	5.88878987	27.61228536	134.2281879	4.56
CrA	XDel	19.13914805	-40.4966376	53.56186395	4.57
Oph	X5Rho	16.42642254	-23.44711764	120.9189843	4.57
Vul	X13	19.89102245	24.07952568	110.1321586	4.57
Her	X24Ome	16.42359154	14.03341514	72.09805335	4.57
Dra	X31Psi1	17.69897418	72.14949916	22.03613927	4.57
Her	X113	18.91246698	22.64507357	149.0312966	4.57
Dra	X10	13.85720488	64.72328281	120.0480192	4.58
Sco	X13	16.20505881	-27.92631564	143.472023	4.58
Ori	X42	5.58976712	-4.83834045	240.9638554	4.58
